,Nombre Municipio Loc,CLUES
3609,Tecozautla,HGSSA003084
3610,Tecozautla,HGSSA003096
3612,Tecozautla,HGSSA003101
3614,Tecozautla,HGSSA003113
3616,Tecozautla,HGSSA003125
3621,Tecozautla,HGSSA003130
3625,Tecozautla,HGSSA003142
3629,Tenango de Doria,HGSSA003154
3636,Tenango de Doria,HGSSA003166
3641,Tenango de Doria,HGSSA003171
3644,Tenango de Doria,HGSSA003183
3650,Tepeapulco,HGSSA003200
3651,Tepeapulco,HGSSA003212
3652,Tepeapulco,HGSSA003224
3655,Tepeapulco,HGSSA003236
3659,Tepehuacán de Guerrero,HGSSA003241
3662,Tepehuacán de Guerrero,HGSSA003253
3664,Tepehuacán de Guerrero,HGSSA003265
3665,Tepehuacán de Guerrero,HGSSA003270
3666,Tepehuacán de Guerrero,HGSSA003282
3667,Tepehuacán de Guerrero,HGSSA003294
3668,Tepehuacán de Guerrero,HGSSA003306
3670,Tepehuacán de Guerrero,HGSSA003311
3675,Tepehuacán de Guerrero,HGSSA003323
3677,Tepehuacán de Guerrero,HGSSA003335
3679,Tepehuacán de Guerrero,HGSSA003340
3683,Tepehuacán de Guerrero,HGSSA003352
3687,Tepeji del Río de Ocampo,HGSSA003364
3740,Atotonilco de Tula,HGSSA003376
3759,Tepeji del Río de Ocampo,HGSSA003381
3763,Tepeji del Río de Ocampo,HGSSA003393
3767,Tepeji del Río de Ocampo,HGSSA003405
3775,Tepeji del Río de Ocampo,HGSSA003410
3777,Tepetitlán,HGSSA003422
3786,Tepetitlán,HGSSA003434
3790,Tepetitlán,HGSSA003446
3792,Tepetitlán,HGSSA003451
3796,Tetepango,HGSSA003463
3809,Tetepango,HGSSA003475
3811,Villa de Tezontepec,HGSSA003480
3824,Villa de Tezontepec,HGSSA003492
3828,Tezontepec de Aldama,HGSSA003504
3839,Tezontepec de Aldama,HGSSA003516
3840,Tezontepec de Aldama,HGSSA003521
3845,Tezontepec de Aldama,HGSSA003533
3846,Tezontepec de Aldama,HGSSA003545
3847,Tianguistengo,HGSSA003550
3866,Tianguistengo,HGSSA003562
3871,Tianguistengo,HGSSA003574
3872,Tianguistengo,HGSSA003586
3877,Tianguistengo,HGSSA003591
3878,Tizayuca,HGSSA003603
3963,Tizayuca,HGSSA003615
3967,Tizayuca,HGSSA003620
3986,Tizayuca,HGSSA003632
3998,Tizayuca,HGSSA003644
4019,Tlahuelilpan,HGSSA003656
4030,Tlahuelilpan,HGSSA003661
4034,Tezontepec de Aldama,HGSSA003673
4041,Tlahuiltepa,HGSSA003685
4063,Eloxochitlán,HGSSA003690
4072,Tlahuiltepa,HGSSA003702
4078,Tlahuiltepa,HGSSA003726
4091,Tepehuacán de Guerrero,HGSSA003731
4095,Tlanalapa,HGSSA003743
4113,Tlanalapa,HGSSA003755
4119,Tlanchinol,HGSSA003760
4138,Tlanchinol,HGSSA003772
4140,Tlanchinol,HGSSA003784
4144,Tlanchinol,HGSSA003796
4145,Tlanchinol,HGSSA003801
4148,Tlanchinol,HGSSA003813
4149,Tlanchinol,HGSSA003825
4154,Tlanchinol,HGSSA003830
4155,Tlanchinol,HGSSA003842
4156,Tlanchinol,HGSSA003854
4158,Tlanchinol,HGSSA003866
4159,Tlanchinol,HGSSA003871
4160,Tlanchinol,HGSSA003883
4161,Tlaxcoapan,HGSSA003895
4173,Tlaxcoapan,HGSSA003900
4176,Tlaxcoapan,HGSSA003912
4179,Tolcayuca,HGSSA003924
4202,Tula de Allende,HGSSA003965
4243,Tepetitlán,HGSSA003970
4247,Tula de Allende,HGSSA003982
4249,Tula de Allende,HGSSA003994
4258,Tula de Allende,HGSSA004006
4264,Tula de Allende,HGSSA004011
4270,Tula de Allende,HGSSA004023
4271,Tula de Allende,HGSSA004035
4275,Tula de Allende,HGSSA004040
4277,Tula de Allende,HGSSA004052
4286,Tula de Allende,HGSSA004064
4288,Tula de Allende,HGSSA004076
4295,Tula de Allende,HGSSA004081
4298,Tulancingo de Bravo,HGSSA004105
4404,Tulancingo de Bravo,HGSSA004110
4409,Tulancingo de Bravo,HGSSA004122
4422,Tulancingo de Bravo,HGSSA004134
4429,Tulancingo de Bravo,HGSSA004146
4434,Cuautepec de Hinojosa,HGSSA004151
4456,Xochiatipan,HGSSA004163
4460,Xochiatipan,HGSSA004175
4461,Xochiatipan,HGSSA004180
4463,Xochiatipan,HGSSA004192
4466,Xochiatipan,HGSSA004204
4467,Xochicoatlán,HGSSA004216
4482,Xochicoatlán,HGSSA004221
4486,Yahualica,HGSSA004233
4489,Yahualica,HGSSA004245
4491,Yahualica,HGSSA004250
4494,Yahualica,HGSSA004262
4495,Yahualica,HGSSA004274
4497,Yahualica,HGSSA004286
4500,Yahualica,HGSSA004291
4501,Zacualtipán de Ángeles,HGSSA004303
4514,Zacualtipán de Ángeles,HGSSA004315
4515,Zacualtipán de Ángeles,HGSSA004320
